대지위치,시군구코드,법정동코드,대지구분코드,번,지,사용년월,도로명대지위치,새주소일련번호,새주소도로코드,새주소지상지하코드,새주소본번,새주소부번,사용량(KWh)
서울특별시 성동구 사근동 17,11200,10600,0,0017,0000,202501,,1,,,,,70636
서울특별시 성동구 사근동 17,11200,10600,0,0017,0000,202502,,1,,,,,69442
서울특별시 성동구 사근동 17,11200,10600,0,0017,0000,202503,,1,,,,,66726
서울특별시 성동구 사근동 17,11200,10600,0,0017,0000,202504,,1,,,,,62076
서울특별시 성동구 사근동 17,11200,10600,0,0017,0000,202505,,1,,,,,63969
서울특별시 성동구 사근동 17,11200,10600,0,0017,0000,202506,,1,,,,,63986
서울특별시 성동구 사근동 17,11200,10600,0,0017,0000,202507,,1,,,,,71473
서울특별시 성동구 사근동 17,11200,10600,0,0017,0000,202508,,1,,,,,58251
서울특별시 성동구 사근동 17,11200,10600,0,0017,0000,202509,,1,,,,,60179
서울특별시 성동구 사근동 126-108,11200,10600,0,0126,0108,202501,,1,,,,,97
서울특별시 성동구 사근동 126-108,11200,10600,0,0126,0108,202502,,1,,,,,98
서울특별시 성동구 사근동 126-108,11200,10600,0,0126,0108,202503,,1,,,,,86
서울특별시 성동구 사근동 126-108,11200,10600,0,0126,0108,202504,,1,,,,,95
서울특별시 성동구 사근동 126-108,11200,10600,0,0126,0108,202505,,1,,,,,90
서울특별시 성동구 사근동 126-108,11200,10600,0,0126,0108,202506,,1,,,,,96
서울특별시 성동구 사근동 126-108,11200,10600,0,0126,0108,202507,,1,,,,,98
서울특별시 성동구 사근동 126-108,11200,10600,0,0126,0108,202508,,1,,,,,101
서울특별시 성동구 사근동 126-108,11200,10600,0,0126,0108,202509,,1,,,,,103
서울특별시 성동구 사근동 170,11200,10600,0,0170,0000,202501,서울특별시 성동구 사근동8가길 28 (사근동) ,1,112004109292,0,28,0,1407
서울특별시 성동구 사근동 170,11200,10600,0,0170,0000,202502,서울특별시 성동구 사근동8가길 28 (사근동) ,1,112004109292,0,28,0,1374
서울특별시 성동구 사근동 170,11200,10600,0,0170,0000,202503,서울특별시 성동구 사근동8가길 28 (사근동) ,1,112004109292,0,28,0,1082
