지점,지점명,일시,기온(°C),기온 QC플래그,강수량(mm),강수량 QC플래그,풍속(m/s),풍속 QC플래그,풍향(16방위),풍향 QC플래그,습도(%),습도 QC플래그,증기압(hPa),이슬점온도(°C),현지기압(hPa),현지기압 QC플래그,해면기압(hPa),해면기압 QC플래그,일조(hr),일조 QC플래그,일사(MJ/m2),일사 QC플래그,적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),지면온도 QC플래그,5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
108,서울,2026-01-30 01:00,-8.3,,,,.4,,0,,44,,1.4,-18.4,1020.6,,1031.9,,,9,,9,,,0,0,,,2763,,,-7.3,,-2.9,-2.7,-1.1,-.4
108,서울,2026-01-30 02:00,-8.9,,,,1.4,,270,,45,,1.4,-18.7,1021,,1032.3,,,9,,9,,,0,0,,,2756,,,-7.6,,-3.2,-2.9,-1.2,-.3
108,서울,2026-01-30 03:00,-9,,,,1.9,,250,,46,,1.4,-18.5,1021,,1032.3,,,9,,9,,,0,0,,,2685,,,-7.9,,-3.5,-3.1,-1.3,-.4
108,서울,2026-01-30 04:00,-8.8,,,,2.8,,270,,44,,1.4,-18.8,1021,,1032.3,,,9,,9,,,0,0,,,2906,,,-7.9,,-3.6,-3.3,-1.4,-.4
108,서울,2026-01-30 05:00,-8.8,,,,1.9,,270,,45,,1.4,-18.6,1021.3,,1032.6,,,9,,9,,,0,0,,,2800,,,-8,,-3.7,-3.4,-1.6,-.4
108,서울,2026-01-30 06:00,-9,,,,1.3,,270,,47,,1.5,-18.2,1021.2,,1032.5,,,9,,9,,,3,0,Ci,,2896,,,-8,,-3.9,-3.5,-1.6,-.5
108,서울,2026-01-30 07:00,-9,,,,2.2,,270,,49,,1.5,-17.7,1021.8,,1033.2,,,9,,9,,,3,0,Ci,,2925,,,-7.8,,-3.9,-3.6,-1.7,-.5
108,서울,2026-01-30 08:00,-9.1,,,,2.8,,320,,47,,1.5,-18.3,1021.8,,1033.2,,0,,.01,,,,2,0,Ci,,2756,,,-7.8,,-4,-3.7,-1.7,-.5
108,서울,2026-01-30 09:00,-8.7,,,,2.9,,320,,46,,1.5,-18.2,1021.8,,1033.1,,1,,.4,,,,1,0,Ci,,2382,,,-6.4,,-4,-3.8,-1.8,-.6
108,서울,2026-01-30 10:00,-7.5,,,,2.2,,270,,42,,1.5,-18.2,1021.8,,1033.1,,1,,1.08,,,,0,0,,,2447,,,-2.5,,-3.8,-3.7,-1.9,-.6
108,서울,2026-01-30 11:00,-6.5,,,,3.2,,290,,38,,1.4,-18.5,1022,,1033.2,,1,,1.68,,,,2,0,Ci,,2529,,,-.3,,-3.2,-3.4,-2,-.6
108,서울,2026-01-30 12:00,-5.2,,,,3.3,,290,,35,,1.5,-18.3,1021.3,,1032.5,,1,,2.08,,,,6,0,Ci,,2445,,,.9,,-2.6,-3.1,-2,-.8
108,서울,2026-01-30 13:00,-4.3,,,,2.7,,290,,33,,1.5,-18.2,1020.4,,1031.5,,.9,,1.72,,,,8,0,Ci,,2511,,,1.6,,-2.1,-2.8,-1.9,-1
108,서울,2026-01-30 14:00,-2.5,,,,2.6,,250,,32,,1.6,-16.9,1019.5,,1030.5,,1,,2.02,,,,7,0,Ci,,2153,,,2.2,,-1.7,-2.5,-1.8,-.9
108,서울,2026-01-30 15:00,-2.1,,,,3.4,,250,,32,,1.7,-16.6,1019.4,,1030.4,,1,,1.71,,,,8,0,Ci,,2378,,,1.6,,-1.3,-2.2,-1.8,-1
108,서울,2026-01-30 16:00,-2.7,,,,3.2,,320,,32,,1.6,-17.1,1019.2,,1030.3,,1,,1.31,,,,7,0,Ci,,2278,,,.5,,-1.2,-2.1,-1.7,-1
108,서울,2026-01-30 17:00,-3,,,,2.5,,290,,32,,1.6,-17.4,1019.1,,1030.2,,1,,.64,,,,0,0,,,2571,,,-.9,,-1.3,-2,-1.5,-.9
108,서울,2026-01-30 18:00,-4.3,,,,2.6,,270,,36,,1.6,-17.1,1019.4,,1030.5,,.4,,.18,,,,0,0,,,2118,,,-2.9,,-1.6,-2,-1.4,-.8
108,서울,2026-01-30 19:00,-5,,,,2.8,,270,,39,,1.6,-16.8,1020.4,,1031.6,,,9,,9,,,0,0,,,1912,,,-4,,-1.8,-2,-1.2,-.7
108,서울,2026-01-30 20:00,-5.7,,,,.9,,320,,41,,1.6,-16.8,1019.9,,1031.1,,,9,,9,,,0,0,,,1803,,,-5.2,,-2.1,-2.2,-1.2,-.5
108,서울,2026-01-30 21:00,-6.1,,,,1.6,,320,,42,,1.6,-16.9,1019.5,,1030.7,,,9,,9,,,0,0,,,1887,,,-5.8,,-2.3,-2.3,-1.1,-.5
108,서울,2026-01-30 22:00,-6.4,,,,1,,320,,42,,1.6,-17.2,1019.6,,1030.8,,,9,,9,,,0,0,,,1859,,,-6.3,,-2.5,-2.5,-1.2,-.5
108,서울,2026-01-30 23:00,-6.6,,,,2.6,,270,,45,,1.7,-16.5,1019.3,,1030.5,,,9,,9,,,0,0,,,1796,,,-6.5,,-2.8,-2.7,-1.2,-.5
108,서울,2026-01-31 00:00,-7,,,,2.9,,270,,47,,1.7,-16.4,1019.6,,1030.8,,,9,,9,,,0,0,,,1763,,,-6.7,,-2.9,-2.8,-1.3,-.5
