통계명,지표값,연도,최종업데이트,출처,기관명
온실가스 총 배출량 [분야별],632.4백만tCO₂eq.&#40;에너지분야&#41;,2018,2021-01,국가 온실가스 인벤토리 보고서,GIR
에너지분야 CO₂배출량,627.9백만tCO2eq ,2018,2021-01,국가 온실가스 인벤토리 보고서,GIR
산업공정분야 온실가스 배출량,57.0백만tCO2eq ,2018,2021-01,국가 온실가스 인벤토리 보고서,GIR
전력 판매가격&#40;평균 기준&#41;,109.80원/kWh,2020,2021-05,한국전력통계,한국전력공사
계통한계가격&#40;SMP&#41; ,68.87원/kWh,2020,2021-06,전력시장 통계,전력거래소
세계 석유 생산량,4482Mton,2018,2019-09,Key World Statistics 2006 ~ 2019,IEA
에너지 기본계획,211.0 / 171.8백만toe,2040,2019-06,제3차 에너지 기본계획,산업통상자원부
에너지이용합리화 기본계획,194.7/176.5백만toe,2024,2020-11,에너지이용합리화 기본계획,관계부처
집단에너지 공급 기본계획,4080천호,2023,2020-02,제5차 집단에너지공급 기본계획,산업통상자원부
세계 석탄 생산량,7813 Mton,2018,2019-09,Key World Statistics 2006 ~ 2019,IEA
1인당 1차 에너지 소비량,5.86toe/인,2019,2020-12,에너지통계연보,에경연
에너지 총 수입액,864억$,2020,2021-04,에너지통계월보,에경연
에너지 수입의존도,92.90%,2020,2021-04,에너지통계월보,에경연
석유 의존도,37.90%,2020,2021-04,에너지통계월보,에경연
연간 평균전력,62854 MW,2020,2021-05,전력통계속보,한국전력공사
전력 설비예비력,38728 MW,2020,2021-05,전력통계속보,한국전력공사
연간 전력발전량,552162 GWh,2020,2021-05,전력통계속보,한국전력공사
온실가스 총 배출량,727.6백만tCO₂eq ,2018,2021-01,국가 온실가스 인벤토리 보고서,GIR
세계 에너지 생산량,14035Mtoe,2017,2019-09,Key World Statistics 2006 ~ 2019,IEA
콜금리,0.86연%,2021,2021-08,경제통계시스템,한국은행
산업발전부문 온실가스에너지 목표관리제,9953천tCO2-eq,2020,2021-06,편람,KEA
에너지절약시설 투자 자금지원 및 세제지원 제도,228천toe,2020,2021-06,편람,KEA
에너지절약전문기업&#40;ESCO&#41; 사업지원 및 육성,66천toe,2020,2021-06,편람,KEA
집단에너지사업,39개,2019,2021-06,편람,KEA
건축물 에너지효율등급인증제도,1026천toe,2020,2021-06,편람,KEA
자동차 에너지소비효율등급 표시제도,2045모델,2020,2021-06,편람,KEA
에너지소비 효율등급 표시제도,73753개,2020,2021-06,편람,KEA
고효율에너지기자재 인증제도,47100개,2020,2020-06,편람,KEA
